station_id,external_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,geofenced_capacity,rental_methods,is_virtual_station,groups,nearby_distance,_bluetooth_id,_ride_code_support,rental_uris,obcn,short_name,is_valet_station
1,eb1564d9-df87-11ef-b9d3-0681a956ccf1,001 - CL 82 con KR 11,REGULAR,4.6658027,-74.0528436,,Calle 82 entre Carrera 11 y Carrera 12,EL RETIRO,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,f971,True,{},,,
2,eb156c20-df87-11ef-b9d3-0681a956ccf1,002 - CL 65 con KR 10,REGULAR,4.6507888,-74.061453,,Calle 65 entre Carrera 10 y Carrera 11,CHAPINERO NORTE,1111,7,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,fdc2,True,{},,,
4,eb157396-df87-11ef-b9d3-0681a956ccf1,004 - Parque de Japón,REGULAR,4.669821,-74.050483,,Calle 86a entre Carrera 11 y Carrera 11a,LA CABRERA,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,d65f,True,{},,,
5,eb157698-df87-11ef-b9d3-0681a956ccf1,005 - CL 85 con KR 15,REGULAR,4.670073,-74.055579,,Av. Calle 85 entre Carrera 15 y Carrera 16,ANTIGUO COUNTRY,1111,39,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,55a7,True,{},,,
6,eb1579e6-df87-11ef-b9d3-0681a956ccf1,006 - CL 119 con KR 13,REGULAR,4.698706180415817,-74.0400604,,Calle 119 entre Carrera 13 y Carrera 14,SANTA BARBARA CENTRAL,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,7af6,True,{},,,
7,eb157c6b-df87-11ef-b9d3-0681a956ccf1,007 - KR 19 con CL 85,REGULAR,4.67048,-74.0578287,,Av. Carrera 19 entre Calle 84 y Calle 85,ANTIGUO COUNTRY,1111,7,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,e4b1,True,{},,,
8,eb157eba-df87-11ef-b9d3-0681a956ccf1,008 - Parque El Virrey,REGULAR,4.672635,-74.054406,,Calle 87 entre carrera 15 y carrera 16 ,ANTIGUO COUNTRY,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,51d7,True,{},,,
9,eb158105-df87-11ef-b9d3-0681a956ccf1,009 - CL 90 con KR 13,ELECTRICBIKESTATION,4.673189,-74.05081,,Calle 90 entre Carrera 13 y Carrera 12,EL CHICO,1111,19,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3a27,True,{},,,
10,eb1584d5-df87-11ef-b9d3-0681a956ccf1,010 - CL 86A con KR 20,REGULAR,4.67444,-74.06011,,Calle 86a entre Carrera 20 y Carrera 21,POLO CLUB,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,e3bb,True,{},,,
11,eb158724-df87-11ef-b9d3-0681a956ccf1,011 - KR 14 con CL 85,ELECTRICBIKESTATION,4.670068,-74.054133,,Carrera 14 entre Calle 85 y Calle 86A,LA CABRERA,1111,19,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,5322,True,{},,,
12,eb158966-df87-11ef-b9d3-0681a956ccf1,012 - KR 19C con CL 86A,REGULAR,4.6740827,-74.0578152,,Carrera 19c entre Calle 86a y Calle 87,ANTIGUO COUNTRY,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,9706,True,{},,,
13,eb158b97-df87-11ef-b9d3-0681a956ccf1,013 - KR 20 con CL 90,ELECTRICBIKESTATION,4.67686,-74.058346,,Carrera 20 entre Calle 90 y Calle 88,EL CHICO,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3f8f,True,{},,,
14,eb158dd8-df87-11ef-b9d3-0681a956ccf1,014 - DG 40A con KR 7,REGULAR,4.626199,-74.06602,,Diagonal 40A entre Carrera 7 y Carrera 8,SUCRE,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,2d72,True,{},,,
15,eb159008-df87-11ef-b9d3-0681a956ccf1,015 - CL 99 con KR 10,REGULAR,4.681245,-74.0429,,Calle 99 entre Carrera 10 y Carrera 9B,CHICO NORTE II SECTOR,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,c4d9,True,{},,,
16,eb159236-df87-11ef-b9d3-0681a956ccf1,016 - CL 91 con KR 15,REGULAR,4.6756065,-74.053266,,Calle 91 entre Carrera 15 y Carrera 16,EL CHICO,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,c674,True,{},,,
17,eb159461-df87-11ef-b9d3-0681a956ccf1,017 - CL 93 con KR 11,REGULAR,4.67433377,-74.0477812,,Calle 93 entre Carrera 11 y Carrera 12,CHICO NORTE,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,937c,True,{},,,
23,eb15b03f-df87-11ef-b9d3-0681a956ccf1,023 - KR 13 con CL 127,REGULAR,4.703594,-74.039473,,Carrera 13 entre Calle 125 y Calle 127,SANTA BARBARA CENTRAL,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3a1c,True,{},,,
24,eb15b28b-df87-11ef-b9d3-0681a956ccf1,024 - CL 93 con DG 92,REGULAR,4.679405,-74.056866,,Calle 93 entre Carrera 19b y Diagonal 92,CHICO NORTE,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,73be,True,{},,,
25,eb15b4ef-df87-11ef-b9d3-0681a956ccf1,025 - Parque El Virrey 2,ELECTRICBIKESTATION,4.673764,-74.054734,,Calle 88 entre Carrera 16 y Carrera 17,EL CHICO,1111,27,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,b69f,True,{},,,
26,eb15b71f-df87-11ef-b9d3-0681a956ccf1,026 - DG 92 con KR 93B,REGULAR,4.6808476,-74.0546146,,Diagonal 92 entre Calle 94 y Calle 93 B,CHICO NORTE III SECTOR,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,9956,True,{},,,
27,eb15b95a-df87-11ef-b9d3-0681a956ccf1,027 - KR 15 con CL 94,ELECTRICBIKESTATION,4.679583,-74.050414,,Carrera 15 entre Calle 94 y Calle 95,CHICO NORTE,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,4863,True,{},,,
29,eb15bdbb-df87-11ef-b9d3-0681a956ccf1,029 - KR 9 con CL 78,REGULAR,4.661638,-74.053265,,Carrera 9 entre Calle 78 y Calle 79,EL REFUGIO,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,db5a,True,{},,,
30,eb15bff4-df87-11ef-b9d3-0681a956ccf1,030 - KR 9a con CL 90,REGULAR,4.6709283,-74.0473861,,Carrera 9a entre Calle 88 y Calle 90,EL CHICO,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,dc1b,True,{},,,
31,eb15c240-df87-11ef-b9d3-0681a956ccf1,031 - KR 11 con CL 78,REGULAR,4.6625158,-74.0551665,,Carrera 11 entre Calle 78 y Calle  77,EL NOGAL,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,b8a1,True,{},,,
32,eb15c46a-df87-11ef-b9d3-0681a956ccf1,032 - CL 81 con KR 14,ELECTRICBIKESTATION,4.666354,-74.055533,,Calle 81 entre Carrera 13 y Carrera 14,ESPARTILLAL,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,e800,True,{},,,
33,eb15c6a1-df87-11ef-b9d3-0681a956ccf1,033 - Parque Vecinal El Nogal,REGULAR,4.663925,-74.053278,,Calle 80 entre carrera 11 y Carrera 10,EL NOGAL,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3dc4,True,{},,,
34,eb15c8ce-df87-11ef-b9d3-0681a956ccf1,034 - CL 78 con KR 12A,REGULAR,4.6638625,-74.056324,,Calle 78 entre Carrera 12a y Carrera 13,ESPARTILLAL,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,2db3,True,{},,,
35,eb15cb9b-df87-11ef-b9d3-0681a956ccf1,035 - CL 86 con KR 10,REGULAR,4.6681757,-74.0496194,,Calle 86 entre Carrera 10 y Carrera 9,LA CABRERA,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,7d12,True,{},,,
37,eb15d046-df87-11ef-b9d3-0681a956ccf1,037 - CL 74C con KR 9,ELECTRICBIKESTATION,4.65807,-74.054562,,Calle 74C entre Carrera 9 y Carrera 8,PORCIUNCULA,1111,11,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,575f,True,{},,,
38,eb15d26e-df87-11ef-b9d3-0681a956ccf1,038 - KR 10 con CL 72,REGULAR,4.656435,-74.0575464,,Carrera 10 entre Calle 72 y Calle 73,PORCIUNCULA,1111,7,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,19f1,True,{},,,
