,station_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,geofenced_capacity,rental_methods,is_virtual_station,groups,nearby_distance,_bluetooth_id,_ride_code_support,rental_uris,obcn,short_name
0,1,001 - CL 82 con KR 11,REGULAR,4.6658027,-74.0528436,,Calle 82 entre Carrera 11 y Carrera 12,EL RETIRO,1111,19,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,f051,True,{},,
1,3,003 - KR 15 con CL 93,REGULAR,4.677735,-74.05153,,Carrera 15 entre Calle 93 y Calle 93A,CHICO NORTE,1111,10,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,a946,True,{},,
2,4,004 - Parque de Japón,REGULAR,4.669821,-74.050483,,Calle 86a entre Carrera 11 y Carrera 11a,LA CABRERA,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,fcb9,True,{},,
3,5,005 - CL 85 con KR 15,REGULAR,4.670073,-74.055579,,Av. Calle 85 entre Carrera 15 y Carrera 16,ANTIGUO COUNTRY,1111,39,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,ad63,True,{},,
4,6,006 - CL 119 con KR 13,REGULAR,4.698706180415817,-74.0400604,,Calle 119 entre Carrera 13 y Carrera 14,SANTA BARBARA CENTRAL,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,7b86,True,{},,
5,7,007 - KR 19 con CL 85,REGULAR,4.67048,-74.0578287,,Av. Carrera 19 entre Calle 84 y Calle 85,ANTIGUO COUNTRY,1111,7,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,979c,True,{},,
6,8,008 - Parque El Virrey,REGULAR,4.672635,-74.054406,,Calle 87 entre carrera 15 y carrera 16 ,ANTIGUO COUNTRY,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,b2c3,True,{},,
7,9,009 - CL 90 con KR 13,ELECTRICBIKESTATION,4.673189,-74.05081,,Calle 90 entre Carrera 13 y Carrera 12,EL CHICO,1111,19,True,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,b55f,True,{},,
8,10,010 - CL 86A con KR 20,REGULAR,4.67444,-74.06011,,Calle 86a entre Carrera 20 y Carrera 21,POLO CLUB,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,0b3e,True,{},,
9,11,011 - KR 14 con CL 85,ELECTRICBIKESTATION,4.670068,-74.054133,,Carrera 14 entre Calle 85 y Calle 86A,LA CABRERA,1111,19,True,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,6ad3,True,{},,
10,12,012 - KR 19C con CL 86A,REGULAR,4.6740827,-74.0578152,,Carrera 19c entre Calle 86a y Calle 87,ANTIGUO COUNTRY,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,0f28,True,{},,
11,13,013 - KR 20 con CL 90,ELECTRICBIKESTATION,4.67686,-74.058346,,Carrera 20 entre Calle 90 y Calle 88,EL CHICO,1111,15,True,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,aeee,True,{},,
12,14,014 - DG 40A con KR 7,REGULAR,4.626199,-74.06602,,Diagonal 40A entre Carrera 7 y Carrera 8,SUCRE,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,f602,True,{},,
13,15,015 - CL 99 con KR 10,REGULAR,4.681245,-74.0429,,Calle 99 entre Carrera 10 y Carrera 9B,CHICO NORTE II SECTOR,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,2402,True,{},,
14,16,016 - CL 91 con KR 15,REGULAR,4.6756065,-74.053266,,Calle 91 entre Carrera 15 y Carrera 16,EL CHICO,1111,10,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,6036,True,{},,
15,17,017 - CL 93 con KR 11,REGULAR,4.67433377,-74.0477812,,Calle 93 entre Carrera 11 y Carrera 12,CHICO NORTE,1111,11,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,759e,True,{},,
16,18,018 - KR 50 con CL 90,REGULAR,4.6794728,-74.0650061,,Carrera 50 entre Calle 90 y Calle 91,LA CASTELLANA,1111,15,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,bd2f,True,{},,
17,19,019 - AK 30 con CL 39Bis B,REGULAR,4.6282058,-74.0801588,,Av Carrera 30 entre Calle 39 Bis B y Calle 39 Bis A,CHICO NORTE,1111,19,False,0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",False,[],1000.0,76b6,True,{},,
