stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,preferred
10,10,Garden Northbound @ Bassett (South stop),,43.90333273838791,-78.94155897953233,,,0,,,1,2
100,100,McQuay Northbound @ Dundas,,43.87593224,-78.961715,,,0,,,1,2
1000,1000,Glen Northbound @ Medina,,43.87268331,-78.855412,,,0,,,1,2
1001,1001,Northbound @ 825 Glen,,43.87529628,-78.856489,,,0,,,1,2
1002,1002,Malaga Westbound @ Oxford,,43.875507,-78.858799,,,0,,,1,2
1003,1003,Malaga Westbound @ Park,,43.874698,-78.862502,,,0,,,1,1
101,101,McQuay Northbound @ Moonstone,,43.878431,-78.96314599999998,,,0,,,1,2
1014,1014,Malaga Eastbound @ Park,,43.87443,-78.863301,,,0,,,2,2
1015,1015,Malaga Eastbound @ Oxford (West side stop),,43.875032,-78.86054799999998,,,0,,,1,2
1016,1016,Malaga Eastbound @ Oxford (East side stop),,43.875586,-78.857982,,,0,,,1,2
1017,1017,Southbound @ 830 Glen,,43.87507063000001,-78.85656,,,0,,,1,2
1018,1018,Glen Southbound @ Medina,,43.87281378,-78.855636,,,0,,,1,2
1019,1019,Glen Southbound @ Porter,,43.871258,-78.854967,,,0,,,1,2
102,102,McQuay Northbound @ Kennett,,43.879593,-78.965224,,,0,,,1,2
1020,1020,Wentworth Eastbound @ Ravine,,43.87253,-78.84718,,,0,,,1,2
1023,1023,Simcoe Southbound @ Ritson,,43.872059,-78.841181,,,0,,,1,2
1024,1024,Simcoe Southbound @ Wellington,,43.870666,-78.8386,,,0,,,1,2
1025,1025,Simcoe Southbound @ Kawartha,,43.86897900000001,-78.835431,,,0,,,1,2
1027,1027,Westbound @ 60 Lakeview Park,,43.863287,-78.82959099999998,,,0,,,1,2
1029,1029,Lakeview Park Westbound @ Ritson,,43.861379,-78.836721,,,0,,,1,2
103,103,McQuay Northbound @ Balsdon,,43.881326,-78.966408,,,0,,,1,2
1030,1030,Valley Westbound @ Ritson,,43.86425,-78.83846,,,0,,,1,2
1032,1032,Phillip Murray Southbound @ Scugog,,43.86300700000001,-78.84441,,,0,,,1,2
1033,1033,Cedar Northbound @ Phillip Murray,,43.86144322995122,-78.84781779532226,,,0,,,1,2
104,104,McQuay Northbound @ Bonacord,,43.8836627,-78.9673866,,,0,,,1,2
1052,1052,Eastbound @ 1733 Victoria,,43.867405,-78.899322,,,0,,,2,1
1053,1053,Eastbound @ 555 Bloor,,43.8748675,-78.8787787,,,0,,,1,2
1055,1055,Eastbound @ 249 Bloor,,43.878406,-78.864296,,,0,,,1,2
1056,1056,Bloor Eastbound @ Oxford,,43.879381,-78.860118,,,0,,,1,2
1057,1057,Bloor Eastbound @ Simcoe,,43.880241,-78.856285,,,0,,,1,2
1058,1058,Bloor Eastbound @ Albert,,43.880885,-78.853414,,,0,,,1,2
1059,1059,Bloor Eastbound @ Merritt,,43.8816337,-78.8499396,,,0,,,1,2
106,106,McQuay Northbound @ Renfield,,43.888336,-78.969264,,,0,,,1,2
1066,1066,Eastbound @ 887 Bloor,,43.888433,-78.819826,,,0,,,2,2
1067,1067,Grandview Southbound @ Bloor (South side stop),,43.889648,-78.813063,,,0,,,1,2
1068,1068,Grandview Southbound @ Downview,,43.88767,-78.810582,,,0,,,1,2
1069,1069,Grandview Southbound @ Norman,,43.88659650000001,-78.8095866,,,0,,,1,2
107,107,McQuay Northbound @ Jacob,,43.89000200000001,-78.97109399999998,,,0,,,1,2
1070,1070,Grandview Eastbound @ Southdown,,43.886499,-78.806985,,,0,,,1,2
1071,1071,Townline Northbound @ Grandview,,43.88752003,-78.80497908,,,0,,,1,2
108,108,McQuay Westbound @ Muir,,43.889791,-78.97463999999998,,,0,,,1,2
1080,1080,Westbound @ 882 Bloor,,43.888469,-78.820015,,,0,,,1,2
1083,1083,Bloor Westbound @ Farewell,,43.885798,-78.83223599999998,,,0,,,1,2
1084,1084,Bloor Westbound @ Holland,,43.885282,-78.83441,,,0,,,1,2
1088,1088,Bloor Westbound @ Merritt,,43.881681,-78.85046,,,0,,,1,2
1089,1089,Bloor Westbound @ Simcoe,,43.880638,-78.855267,,,0,,,1,2
1090,1090,Bloor Westbound @ Oxford,,43.8794327,-78.86027799999998,,,0,,,1,2
1091,1091,Bloor Westbound @ Park,,43.878553,-78.864334,,,0,,,1,2
1096,1096,Simcoe Northbound @ Wentworth,,43.874477,-78.845479,,,0,,,1,2
1097,1097,Simcoe Northbound @ Wolfe,,43.876246,-78.848778,,,0,,,1,2
11,11,Garden Northbound @ Rossland (Durham Region Headquarters),,43.898916,-78.939531,,,0,,,1,2
110,110,Country Lane Northbound @ Rossland,,43.894933,-78.965943,,,0,,,1,2
1101,1101,Eastbound @ 1189 Colonel Sam,,43.878222,-78.807633,,,0,,,1,2
1118,1118,Farewell Southbound @ Bloor,,43.884732,-78.83069399999998,,,0,,,1,2
1119,1119,Farewell Southbound @ Raleigh,,43.881319,-78.829233,,,0,,,1,1
1120,1120,Farewell Southbound @ Wentworth,,43.8799536,-78.8286811,,,0,,,1,2
1132,1132,Park Northbound @ Quebec,,43.887357,-78.869767,,,0,,,2,2
1133,1133,King Westbound @ Townline,,43.90656,-78.81421,,,0,,,1,1
1134,1134,King Westbound @ Athabasca,,43.906087,-78.818826,,,0,,,1,2
1135,1135,King Westbound @ Kingsway College,,43.905816,-78.821771,,,0,,,1,2
1136,1136,King Westbound @ Keewatin,,43.90592800000001,-78.827635,,,0,,,1,2
1137,1137,King Westbound @ Melrose,,43.90541000000001,-78.829896,,,0,,,1,2
1138,1138,Harmony Northbound @ King,,43.905084,-78.834293,,,0,,,1,1
1139,1139,Harmony Northbound @ Regent,,43.907681,-78.835475,,,0,,,1,2
114,114,Country Lane Northbound @ Wetherburn,,43.896118,-78.966829,,,0,,,1,2
1140,1140,Harmony Northbound @ Eastbourne,,43.908962,-78.836021,,,0,,,1,2
1141,1141,Harmony Northbound @ Adelaide,,43.91195900000001,-78.837306,,,0,,,2,1
1142,1142,Northbound @ 443 Harmony,,43.917231,-78.839598,,,0,,,1,2
1143,1143,Harmony Northbound @ Swiss,,43.933475,-78.84678599999998,,,0,,,1,2
1144,1144,Harmony Northbound @ Grand Ridge,,43.935668,-78.847728,,,0,,,1,2
1145,1145,Harmony Southbound @ Adelaide,,43.91292,-78.83798,,,0,,,1,1
1146,1146,Harmony Southbound @ Eastbourne,,43.90900100000001,-78.836235,,,0,,,1,2
1147,1147,Harmony Southbound @ Regent,,43.907603,-78.835614,,,0,,,1,2
1148,1148,Harmony Southbound @ King,,43.904711,-78.83438599999998,,,0,,,1,1
1149,1149,Harmony Southbound @ Palace,,43.90330500000001,-78.833634,,,0,,,1,2
115,115,Country Lane Northbound @ Gartshore,,43.898544,-78.969667,,,0,,,1,2
1150,1150,Harmony Southbound @ Hoskin,,43.901176,-78.83266999999998,,,0,,,1,2
1151,1151,Southbound @ 188 Harmony,,43.899357,-78.831854,,,0,,,2,2
1152,1152,Harmony Southbound @ Florell,,43.896955,-78.830782,,,0,,,1,2
1153,1153,Harmony Northbound @ Old Harmony,,43.89775,-78.830938,,,0,,,1,2
1154,1154,Harmony Northbound @ Hoskin,,43.899752,-78.831838,,,0,,,1,2
1155,1155,Harmony Northbound @ Palace,,43.90378813,-78.833706,,,0,,,2,2
1156,1156,King Westbound @ Harmony,,43.90424800000001,-78.835009,,,0,,,2,1
1157,1157,Bond Northbound @ Riverside,,43.90426723,-78.837534,,,0,,,1,2
1158,1158,Bond Westbound @ Claymore (East side stop),,43.90453,-78.84238999999998,,,0,,,1,2
1159,1159,Bond Westbound @ Claymore (West side stop),,43.904135,-78.844005,,,0,,,1,1
116,116,Country Lane Northbound @ Randolph,,43.900852,-78.970374,,,0,,,1,2
1160,1160,Bond Westbound @ Cadillac,,43.90335675,-78.847111,,,0,,,1,2
1161,1161,Bond Westbound @ Patricia,,43.902664,-78.84988199999998,,,0,,,1,2
1162,1162,Bond Westbound @ Oshawa Boulevard,,43.901254,-78.85265699999998,,,0,,,1,2
1163,1163,Bond Westbound @ Ritson,,43.900548,-78.855176,,,0,,,1,1
1164,1164,Bond Westbound @ Mary,,43.899252,-78.86069,,,0,,,1,2
1165,1165,Bond Westbound @ Simcoe,,43.89857640000001,-78.8638232,,,0,,,2,1
1166,1166,Bond Westbound @ Centre,,43.8980427,-78.86599339999998,,,0,,,1,1
1167,1167,Bond Westbound @ Arena,,43.8971812,-78.8700233,,,0,,,2,2
1169,1169,Bond Westbound @ Park,,43.896215,-78.87463099999998,,,0,,,1,1
117,117,Country Lane Northbound @ Twin Streams,,43.9031059,-78.9716001,,,0,,,1,2
1171,1171,Bond Westbound @ Gibbons,,43.895268,-78.878156,,,0,,,1,2
1172,1172,Bond Westbound @ Stevenson,,43.89388328,-78.884232,,,0,,,1,1
1173,1173,King Westbound @ Waverly,,43.892156,-78.888154,,,0,,,1,2
1174,1174,King Westbound @ Thornton,,43.89066900000001,-78.894721,,,0,,,1,1
1175,1175,King Eastbound @ Thornton,,43.8910876,-78.8920772,,,0,,,1,1
1176,1176,King Eastbound @ Waverly,,43.891958,-78.88811099999998,,,0,,,1,2
1177,1177,King Eastbound @ Stevenson,,43.89334800000001,-78.88199,,,0,,,1,1
