route_long_name,route_type,route_text_color,route_color,route_url,agency_id,route_short_name,route_id,route_desc
Route 101,3,ffffff,006633,,drt,101,101,
Route 112,3,ffffff,006633,,drt,112,112,
Route 118,3,ffffff,006633,,drt,118,118,
Route 121,3,ffffff,006633,,drt,121,121,
Route 211,3,ffffff,006633,,drt,211,211,
Route 216,3,ffffff,006633,,drt,216,216,
Route 224,3,ffffff,006633,,drt,224,224,
Route 227,3,ffffff,006633,,drt,227,227,
Route 301,3,ffffff,006633,,drt,301,301,
Route 302,3,ffffff,006633,,drt,302,302,
Route 306,3,ffffff,006633,,drt,306,306,
Route 315,3,ffffff,006633,,drt,315,315,
Route 319,3,ffffff,006633,,drt,319,319,
Route 392,3,ffffff,006633,,drt,392,392,
Route 403,3,ffffff,006633,,drt,403,403,
Route 405,3,ffffff,006633,,drt,405,405,
Route 407,3,ffffff,006633,,drt,407,407,
Route 409,3,ffffff,006633,,drt,409,409,
Route 410,3,ffffff,006633,,drt,410,410,
Route 411,3,ffffff,006633,,drt,411,411,
Route 419,3,ffffff,006633,,drt,419,419,
Route 421,3,ffffff,006633,,drt,421,421,
Route 423,3,ffffff,006633,,drt,423,423,
Route 502,3,ffffff,006633,,drt,502,502,
Route 505,3,ffffff,006633,,drt,505,505,
Route 507,3,ffffff,006633,,drt,507,507,
Route 605,3,ffffff,006633,,drt,605,605,
Route 618,3,ffffff,006633,,drt,618,618,
PULSE 900,3,000000,cc6600,,drt,900,900,
PULSE 901,3,000000,cc6600,,drt,901,901,
Route 902,3,ffffff,006633,,drt,902,902,
Route 905,3,ffffff,006633,,drt,905,905,
PULSE 915,3,000000,cc6600,,drt,915,915,
PULSE 916,3,000000,cc6600,,drt,916,916,
Route 917,3,ffffff,006633,,drt,917,917,
Route 920,3,ffffff,006633,,drt,920,920,
Route 921,3,ffffff,006633,,drt,921,921,
Route N1,3,ffffff,0000ff,,drt,N1,N1,
Route N2,3,ffffff,0000ff,,drt,N2,N2,
