stop_desc,stop_url,stop_name,stop_lat,stop_code,stop_id,location_type,preferred,stop_timezone,stop_lon,parent_station,zone_id,wheelchair_boarding
,,Garden Northbound @ Bassett (South stop),43.90333273838791,10,10,0,2,,-78.94155897953233,,,1
,,McQuay Northbound @ Dundas,43.87593224,100,100,0,2,,-78.961715,,,1
,,Glen Northbound @ Medina,43.87268331,1000,1000,0,2,,-78.855412,,,1
,,Northbound @ 825 Glen,43.87529628,1001,1001,0,2,,-78.856489,,,1
,,Malaga Westbound @ Oxford,43.875507,1002,1002,0,2,,-78.858799,,,1
,,Malaga Westbound @ Park,43.874698,1003,1003,0,1,,-78.862502,,,1
,,McQuay Northbound @ Moonstone,43.878431,101,101,0,2,,-78.96314599999998,,,1
,,Malaga Eastbound @ Park,43.87443,1014,1014,0,2,,-78.863301,,,1
,,Malaga Eastbound @ Oxford (West side stop),43.875032,1015,1015,0,2,,-78.86054799999998,,,1
,,Malaga Eastbound @ Oxford (East side stop),43.875586,1016,1016,0,2,,-78.857982,,,1
,,Southbound @ 830 Glen,43.87507063000001,1017,1017,0,2,,-78.85656,,,1
,,Glen Southbound @ Medina,43.87281378,1018,1018,0,2,,-78.855636,,,1
,,Glen Southbound @ Porter,43.871258,1019,1019,0,2,,-78.854967,,,1
,,McQuay Northbound @ Kennett,43.879593,102,102,0,2,,-78.965224,,,1
,,Wentworth Eastbound @ Ravine,43.87253,1020,1020,0,2,,-78.84718,,,1
,,Simcoe Southbound @ Ritson,43.872059,1023,1023,0,2,,-78.841181,,,1
,,Simcoe Southbound @ Wellington,43.870666,1024,1024,0,2,,-78.8386,,,1
,,Simcoe Southbound @ Kawartha,43.86897900000001,1025,1025,0,2,,-78.835431,,,1
,,Westbound @ 60 Lakeview Park,43.863287,1027,1027,0,2,,-78.82959099999998,,,1
,,Lakeview Park Westbound @ Ritson,43.861379,1029,1029,0,2,,-78.836721,,,1
,,McQuay Northbound @ Balsdon,43.881326,103,103,0,2,,-78.966408,,,1
,,Valley Westbound @ Ritson,43.86425,1030,1030,0,2,,-78.83846,,,1
,,Phillip Murray Southbound @ Scugog,43.86300700000001,1032,1032,0,2,,-78.84441,,,1
,,Cedar Northbound @ Phillip Murray,43.86144322995122,1033,1033,0,2,,-78.84781779532226,,,1
,,McQuay Northbound @ Bonacord,43.8836627,104,104,0,2,,-78.9673866,,,1
,,Eastbound @ 1733 Victoria,43.867405,1052,1052,0,1,,-78.899322,,,1
,,Eastbound @ 555 Bloor,43.8748675,1053,1053,0,2,,-78.8787787,,,1
,,Eastbound @ 249 Bloor,43.878406,1055,1055,0,2,,-78.864296,,,1
,,Bloor Eastbound @ Oxford,43.879381,1056,1056,0,2,,-78.860118,,,1
,,Bloor Eastbound @ Simcoe,43.880241,1057,1057,0,2,,-78.856285,,,1
,,Bloor Eastbound @ Albert,43.880885,1058,1058,0,2,,-78.853414,,,1
,,Bloor Eastbound @ Merritt,43.8816337,1059,1059,0,2,,-78.8499396,,,1
,,McQuay Northbound @ Renfield,43.888336,106,106,0,2,,-78.969264,,,1
